content_id,client_id,action_rank,predicted_decline_probability,action_label,reason_code,impressions_90d,content_age_days,avg_position,days_since_last_update,content_type,main_intent
content_acabbec056ae,client_3fdba35f04,174,0.7556,refresh_now,model_flagged,316,310,35.8,104,keyword article,transactional
content_6ee1588e8bcb,client_3fdba35f04,175,0.7556,refresh_now,model_flagged,989,155,27.3,104,keyword article,informational
content_674b37eb5f33,client_624b60c58c,176,0.7555,refresh_now,model_flagged,135,104,6.9,8,feedly article,
content_e115a063d3c8,client_3fdba35f04,177,0.7555,refresh_now,model_flagged,762,223,3.9,104,keyword article,transactional
content_cad53a20ddd0,client_3fdba35f04,178,0.7554,refresh_now,model_flagged,97,139,34.6,104,keyword article,commercial
content_4463f504fbd5,client_3fdba35f04,179,0.7553,refresh_now,model_flagged,121,174,13.9,104,keyword article,informational
content_0af26e3d8aa4,client_3fdba35f04,180,0.7553,refresh_now,model_flagged,1519,223,6.0,104,keyword article,transactional
content_4d76cdb3387b,client_3fdba35f04,181,0.7553,refresh_now,model_flagged,1597,131,2.7,104,keyword article,commercial
content_0d0c0c89d0b7,client_3fdba35f04,182,0.7552,refresh_now,model_flagged,565,165,41.6,104,keyword article,informational
content_c2ac8518bb1f,client_7f2253d7e2,183,0.7549,refresh_now,high_visibility,35150,141,18.5,20,keyword article,informational
content_1337de8128cc,client_3fdba35f04,184,0.7548,refresh_now,model_flagged,945,139,5.5,104,keyword article,informational
content_7e1a748d925e,client_3fdba35f04,185,0.7548,refresh_now,model_flagged,1279,309,25.4,104,keyword article,transactional
content_4e3db6ca9795,client_3fdba35f04,186,0.7548,refresh_now,model_flagged,435,165,7.6,104,keyword article,informational
content_8267d75bdc1a,client_7f2253d7e2,187,0.7547,refresh_now,model_flagged,284,172,15.5,20,keyword article,
content_a5acc618880c,client_3fdba35f04,188,0.7547,refresh_now,model_flagged,271,148,29.9,104,keyword article,informational
content_3fe65c176b7d,client_3fdba35f04,189,0.7546,refresh_now,model_flagged,218,263,6.5,104,keyword article,transactional
content_3e40ca50f87c,client_7f2253d7e2,190,0.7546,refresh_now,model_flagged,444,169,8.0,20,keyword article,
content_567fa7db5bdf,client_3fdba35f04,191,0.7546,refresh_now,model_flagged,833,165,2.9,104,keyword article,informational
content_40bb24d50421,client_7f2253d7e2,192,0.7546,refresh_now,model_flagged,805,169,3.7,20,keyword article,
content_d75648c75e28,client_3fdba35f04,193,0.7545,refresh_now,model_flagged,633,223,28.5,104,keyword article,transactional
content_39e33835267d,client_3fdba35f04,194,0.7544,refresh_now,model_flagged,670,223,6.0,104,keyword article,commercial
content_484c20bb99ce,client_3fdba35f04,195,0.7543,refresh_now,model_flagged,1208,263,38.3,104,keyword article,transactional
content_c5fccd229593,client_3fdba35f04,196,0.7542,refresh_now,model_flagged,170,223,17.1,104,keyword article,transactional
content_4e75c45a9d83,client_3fdba35f04,197,0.7542,refresh_now,model_flagged,599,165,28.3,104,keyword article,informational
content_0a08fba69bf3,client_7f2253d7e2,198,0.7541,refresh_now,high_visibility,37685,147,31.6,20,keyword article,informational
content_4b8f0a05b1c8,client_624b60c58c,199,0.7541,refresh_now,model_flagged,118,104,8.7,8,feedly article,
content_ad74712c2add,client_3fdba35f04,200,0.7541,refresh_now,model_flagged,266,223,35.1,104,keyword article,informational
content_3db2b454b5f7,client_3fdba35f04,201,0.7541,refresh_now,model_flagged,581,165,33.0,104,keyword article,transactional
content_351051794a7b,client_3fdba35f04,202,0.7541,refresh_now,model_flagged,225,223,11.8,104,keyword article,transactional
content_887594f62cb7,client_3fdba35f04,203,0.7539,refresh_now,model_flagged,878,165,12.4,104,keyword article,informational
content_e23e08154491,client_3fdba35f04,204,0.7538,refresh_now,model_flagged,3029,139,6.5,104,keyword article,commercial
content_3e0108e57842,client_6208ef0f77,205,0.7538,refresh_now,high_visibility,7114,229,46.6,104,keyword article,
content_80d424865465,client_7f2253d7e2,206,0.7537,refresh_now,model_flagged,449,169,9.8,20,keyword article,
content_73f3a3c5e203,client_3fdba35f04,207,0.7537,refresh_now,model_flagged,2104,174,21.8,104,keyword article,informational
content_72a217799ba0,client_3fdba35f04,208,0.7536,refresh_now,model_flagged,1027,174,20.2,104,keyword article,informational
content_d32e4fb1896a,client_624b60c58c,209,0.7534,refresh_now,model_flagged,112,112,6.6,8,feedly article,
content_1f080331fa2b,client_3fdba35f04,210,0.7534,refresh_now,high_visibility,12834,165,6.8,104,keyword article,informational
content_4f166f39b2b5,client_7f2253d7e2,211,0.7533,refresh_now,model_flagged,375,172,17.8,20,keyword article,
content_c9f4cbc1d493,client_7f2253d7e2,212,0.7533,refresh_now,model_flagged,220,169,10.2,20,keyword article,
content_959e1cc9feeb,client_3fdba35f04,213,0.7533,refresh_now,model_flagged,611,155,38.1,104,keyword article,informational
content_cbbf16037e5e,client_3fdba35f04,214,0.7532,refresh_now,model_flagged,3184,124,39.4,104,keyword article,informational
content_d56e84c0d475,client_3fdba35f04,215,0.7531,refresh_now,model_flagged,232,263,12.4,104,keyword article,transactional
content_6ca5e31fae81,client_3fdba35f04,216,0.753,refresh_now,model_flagged,164,263,9.4,104,keyword article,transactional
content_d938f935fafb,client_7f2253d7e2,217,0.753,refresh_now,model_flagged,163,169,13.9,20,keyword article,
content_dd43e31efec7,client_7f2253d7e2,218,0.7529,refresh_now,high_visibility,14663,132,16.8,20,keyword article,informational
content_8266feeb482d,client_3fdba35f04,219,0.7529,refresh_now,model_flagged,2742,284,25.5,104,keyword article,transactional
content_f433463b3815,client_7f2253d7e2,220,0.7528,refresh_now,model_flagged,397,169,4.0,20,keyword article,
content_9428850c5661,client_3fdba35f04,221,0.7528,refresh_now,model_flagged,2145,155,27.3,104,keyword article,informational
content_7250ecfc53de,client_3fdba35f04,222,0.7527,refresh_now,model_flagged,355,165,14.4,104,keyword article,informational
content_aa76dcfed6e7,client_3fdba35f04,223,0.7527,refresh_now,model_flagged,2765,165,21.1,104,keyword article,transactional
content_fafb95d57453,client_7f2253d7e2,224,0.7524,refresh_now,model_flagged,342,169,26.0,20,keyword article,
content_3e5ea1d9ee75,client_3fdba35f04,225,0.7523,refresh_now,model_flagged,2870,124,22.1,104,keyword article,informational
content_d85e106be16f,client_3fdba35f04,226,0.7522,refresh_now,model_flagged,229,263,13.2,104,keyword article,commercial
content_f876921d2dbc,client_6208ef0f77,227,0.7521,refresh_now,model_flagged,1150,148,16.3,104,keyword article,informational
content_dc8482da17c4,client_7f2253d7e2,228,0.7521,refresh_now,high_visibility,18213,147,24.2,20,keyword article,informational
content_e53f7e3c81d0,client_3fdba35f04,229,0.752,refresh_now,model_flagged,247,131,5.8,104,keyword article,commercial
content_b1d593faf9c6,client_3fdba35f04,230,0.752,refresh_now,model_flagged,2655,148,8.3,104,keyword article,informational
content_eee58fb0c10b,client_3fdba35f04,231,0.7519,refresh_now,model_flagged,324,174,28.2,104,keyword article,informational
content_d68a2265c1c0,client_7f2253d7e2,232,0.7518,refresh_now,model_flagged,547,169,28.5,20,keyword article,
content_9d26a36928a1,client_624b60c58c,233,0.7518,refresh_now,model_flagged,156,93,26.2,8,feedly article,
content_5f7bb3448ce0,client_3fdba35f04,234,0.7517,refresh_now,model_flagged,2948,284,43.1,104,keyword article,transactional
content_9a8f08a47294,client_3fdba35f04,235,0.7516,refresh_now,model_flagged,332,263,4.6,104,keyword article,informational
